lead_id;lead_link;source;final_stage;date_added;pipeline_22.04.2026;stage_22.04.2026;pipeline_23.04.2026;stage_23.04.2026;pipeline_24.04.2026;stage_24.04.2026;pipeline_27.04.2026;stage_27.04.2026;pipeline_28.04.2026;stage_28.04.2026
37743681;https://alladin116.amocrm.ru/leads/detail/37743681;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743639;https://alladin116.amocrm.ru/leads/detail/37743639;yandex;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743597;https://alladin116.amocrm.ru/leads/detail/37743597;Коол Центр;;;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы;3. ОГЗ Упрощенное;Назначена дата презентации КП и запрошены материалы
37743583;https://alladin116.amocrm.ru/leads/detail/37743583;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743551;https://alladin116.amocrm.ru/leads/detail/37743551;yandex;Закрыто и не реализовано;;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;
37743529;https://alladin116.amocrm.ru/leads/detail/37743529;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743517;https://alladin116.amocrm.ru/leads/detail/37743517;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743513;https://alladin116.amocrm.ru/leads/detail/37743513;повторный заказ;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743467;https://alladin116.amocrm.ru/leads/detail/37743467;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743465;https://alladin116.amocrm.ru/leads/detail/37743465;Коол Центр;;;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев;4. ОГЗ Долгосрочные;6 месяцев
37743461;https://alladin116.amocrm.ru/leads/detail/37743461;Коол Центр;;;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев
37743455;https://alladin116.amocrm.ru/leads/detail/37743455;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Контакт установлен;;;;
37743451;https://alladin116.amocrm.ru/leads/detail/37743451;Коол Центр;;;4. ОГЗ Долгосрочные;9 месяцев;4. ОГЗ Долгосрочные;9 месяцев;4. ОГЗ Долгосрочные;9 месяцев;4. ОГЗ Долгосрочные;9 месяцев;4. ОГЗ Долгосрочные;9 месяцев
37743445;https://alladin116.amocrm.ru/leads/detail/37743445;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743411;https://alladin116.amocrm.ru/leads/detail/37743411;Коол Центр;Закрыто и не реализовано;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;;;
37743407;https://alladin116.amocrm.ru/leads/detail/37743407;Партнерская СРМ;;;3. ОГЗ Упрощенное;Получены материалы по проекту (в тч Договор);3. ОГЗ Упрощенное;Получены материалы по проекту (в тч Договор);3. ОГЗ Упрощенное;Получены материалы по проекту (в тч Договор);3. ОГЗ Упрощенное;Подготовлено КП;3. ОГЗ Упрощенное;Подготовлено КП
37744127;https://alladin116.amocrm.ru/leads/detail/37744127;Коол Центр;;;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев;4. ОГЗ Долгосрочные;12+ месяцев
37744077;https://alladin116.amocrm.ru/leads/detail/37744077;Коол Центр;Закрыто и не реализовано;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;
37744063;https://alladin116.amocrm.ru/leads/detail/37744063;Коол Центр;Закрыто и не реализовано;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;
37744031;https://alladin116.amocrm.ru/leads/detail/37744031;Коол Центр;Закрыто и не реализовано;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;
37743975;https://alladin116.amocrm.ru/leads/detail/37743975;Коол Центр;;;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Контакт установлен;1. ОГЗ Квалификация;Контакт установлен
37743965;https://alladin116.amocrm.ru/leads/detail/37743965;Коол Центр;;;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон;1. ОГЗ Квалификация;Недозвон
37743953;https://alladin116.amocrm.ru/leads/detail/37743953;повторный заказ;Закрыто и не реализовано;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;
37743939;https://alladin116.amocrm.ru/leads/detail/37743939;Коол Центр;Закрыто и не реализовано;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;
37743909;https://alladin116.amocrm.ru/leads/detail/37743909;Своя база;;;Фокусные сделки ОГЗ;расчет кп готов;Фокусные сделки ОГЗ;расчет кп готов;Фокусные сделки ОГЗ;расчет кп готов;Фокусные сделки ОГЗ;расчет кп готов;Фокусные сделки ОГЗ;расчет кп готов
37743907;https://alladin116.amocrm.ru/leads/detail/37743907;повторный заказ;Закрыто и не реализовано;;;;1. ОГЗ Квалификация;Закрыто и не реализовано;;;;;;
